ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Rockerz 385 V2,"
Sale price₹ 1,499",70% off,73 reviews,"★
  4.8
    ",Supperbbb,Top class quality
 Rockerz 385 V2,"
Sale price₹ 1,499",70% off,73 reviews,"★
  4.8
    ",I loved it,"Rokerz 385 V2 is a good quality product, I'll recommend to purchase it"
 Rockerz 235 Pro ,"
Sale price₹ 999",50% off,48 reviews,"★
  4.9
    ",Best product,I am happy 😊
 Rockerz 235 Pro ,"
Sale price₹ 999",50% off,48 reviews,"★
  4.9
    ",,Thik prodakte tha good
 Rockerz 235 Pro ,"
Sale price₹ 999",50% off,48 reviews,"★
  4.9
    ",,boAt Rockerz 235 Pro
 Rockerz 235 Pro ,"
Sale price₹ 999",50% off,48 reviews,"★
  4.9
    ",Unique products,Awesome product. Go get it n enjoy the music.
 Rockerz 235 Pro ,"
Sale price₹ 999",50% off,48 reviews,"★
  4.9
    ",,Best
 Rockerz 235 Pro ,"
Sale price₹ 999",50% off,48 reviews,"★
  4.9
    ",Good,So nice product
 Rockerz 255F ,"
Sale price₹ 1,299",57% off,46 reviews,"★
  4.8
    ",,boAt Rockerz 255F
 Rockerz 255F ,"
Sale price₹ 1,299",57% off,46 reviews,"★
  4.8
    ",,Good
 Rockerz 255F ,"
Sale price₹ 1,299",57% off,46 reviews,"★
  4.8
    ",,Good product. Delivery safe and on time. Thank you boat Rockerz.
 Rockerz 255F ,"
Sale price₹ 1,299",57% off,46 reviews,"★
  4.8
    ",,5 star
 Rockerz 255F ,"
Sale price₹ 1,299",57% off,46 reviews,"★
  4.8
    ",Very  Nice production,*****
 Rockerz 255F ,"
Sale price₹ 1,299",57% off,46 reviews,"★
  4.8
    ",Good product,Excellent to ear a music and voice
 Rockerz 260 v1 ,"
Sale price₹ 1,199",52% off,40 reviews,"★
  4.9
    ",Perfect!,"I really have trust on BOAT. 
It always feels amazing using BOAT product❤"
 Rockerz 260 v1 ,"
Sale price₹ 1,199",52% off,40 reviews,"★
  4.9
    ",,boAt Rockerz 260 v1
 Rockerz 260 v1 ,"
Sale price₹ 1,199",52% off,40 reviews,"★
  4.9
    ",Product is good but delivery taken time was very worst,Product is good but delivery taken time was very worst
